row_no,project_code,activity_field,organisation_name,city,grant_amount_eur,list_type
115,2026-1-TR01-KA121-VET-000443644,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Şanlıurfa İl Milli Eğitim Müdürlüğü,Şanlıurfa,243500.0,Kabul Listesi
116,2026-1-TR01-KA121-VET-000443829,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Eskişehir İl Milli Eğitim Müdürlüğü,Eskişehir,272640.0,Kabul Listesi
117,2026-1-TR01-KA121-VET-000443836,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kocaeli İl Milli Eğitim Müdürlüğü,Kocaeli,412398.0,Kabul Listesi
118,2026-1-TR01-KA121-VET-000444250,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Niğde İl Milli Eğitim Müdürlüğü,Niğde,142115.0,Kabul Listesi
119,2026-1-TR01-KA121-VET-000444254,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Burdur İl Milli Eğitim Müdürlüğü,Burdur,220801.0,Kabul Listesi
120,2026-1-TR01-KA121-VET-000444712,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul Sanayi Odası,İstanbul,349990.0,Kabul Listesi
121,2026-1-TR01-KA121-VET-000444869,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul Teknik Üniversitesi Mesleki ve Teknik Anadolu Lisesi,İstanbul,93355.0,Kabul Listesi
122,2026-1-TR01-KA121-VET-000445673,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Tekirdağ İl Milli Eğitim Müdürlüğü,Tekirdağ,261269.0,Kabul Listesi
123,2026-1-TR01-KA121-VET-000446718,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Aksu Uçak Bakım Teknolojisi Mesleki ve Teknik Anadolu Lisesi,Antalya,127152.0,Kabul Listesi
124,2026-1-TR01-KA121-VET-000447011,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Van İl Milli Eğitim Müdürlüğü,Van,344872.0,Kabul Listesi
125,2026-1-TR01-KA121-VET-000447730,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Konya Selçuklu Mehmet Tuza Pakpen Mesleki ve Teknik Anadolu Lisesi,Konya,201201.0,Kabul Listesi
126,2026-1-TR01-KA121-VET-000447786,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kütahya İl Milli Eğitim Müdürlüğü,Kütahya,152490.0,Kabul Listesi
127,2026-1-TR01-KA121-VET-000447939,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Arçelik A.Ş.,İstanbul,436200.0,Kabul Listesi
128,2026-1-TR01-KA121-VET-000448137,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Çankırı İl Milli Eğitim Müdürlüğü,Çankırı,180269.0,Kabul Listesi
129,2026-1-TR01-KA121-VET-000448167,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İstanbul Kartal Yakacık Mesleki ve Teknik Anadolu Lisesi,İstanbul,303845.0,Kabul Listesi
130,2026-1-TR01-KA121-VET-000448552,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,Ankara,294913.0,Kabul Listesi
