row_no,project_code,organisation_name,project_title,city,grant_amount_eur,list_type
82,2026-1-TR01-KA122-VET-000439427,Zeytinburnu Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,İklim Kriziyle Mücadele ve Florlu Gazların Azaltılması için Avrupa Yolculuğu,İstanbul,65135.0,Kabul Listesi
83,2026-1-TR01-KA122-VET-000439741,Sivas Atatürk Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,"Sivas'ta Sıfır Emisyon, Avrupa ile Tam Motivasyon",Sivas,59968.0,Kabul Listesi
84,2026-1-TR01-KA122-VET-000440360,Osmancık Nenehatun Özel Eğitim Uygulama Okulu,Özel Gereksinimli Bireyler için Yenilikçi Mesleki Eğitim ve İstihdam Yaklaşımları,Çorum,25060.0,Kabul Listesi
85,2026-1-TR01-KA122-VET-000440542,Aziziye Yavuz Selim Tarım Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,GEM Skills (Green European Mobility Skills),Erzurum,55381.0,Kabul Listesi
86,2026-1-TR01-KA122-VET-000440845,Bursa Atatürk Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Güneş Enerjisi Sistemleri ile Sürdürülebilir Elektrikli Araç Şarj İstasyonu Stajı,Bursa,62139.0,Kabul Listesi
87,2026-1-TR01-KA122-VET-000441179,Orhangazi Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Avrupa İşletmelerinde İstihdam Edilebilirlik Becerileri Geliştirme,Bursa,55368.0,Kabul Listesi
88,2026-1-TR01-KA122-VET-000441580,Abdulkadir Özgül Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Gaziantep'in Kanatları,Gaziantep,42980.0,Kabul Listesi
89,2026-1-TR01-KA122-VET-000441717,Ulus Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Yeşil Teknolojili Yeni Nesil Akıllı Ev ve Fabrikalarda Endüstriyel Kontrol Uygulamalari Stajı,Ankara,73500.0,Kabul Listesi
90,2026-1-TR01-KA122-VET-000441947,Yunusemre Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Yunus Emre Meslek’ten Avrupa’ya Geleceğe Köprü,Eskişehir,66380.0,Kabul Listesi
91,2026-1-TR01-KA122-VET-000443037,Özlem Burma Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Öğrencilerimiz İstihdam için Avrupa Stajında,Kastamonu,37102.0,Kabul Listesi
92,2026-1-TR01-KA122-VET-000443152,Seferihisar Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Avrupa Stajıyla İstihdam Kapılarını Açıyoruz,İzmir,55368.0,Kabul Listesi
93,2026-1-TR01-KA122-VET-000443238,Nevşehir Teknik ve Endüstri Meslek Lisesi Müdürlüğü,VET 4.0: Motor ve Elektrik Alanlarında Yapay Zekâ Tabanlı Dijital Mesleki Dönüşüm,Nevşehir,32144.0,Kabul Listesi
94,2026-1-TR01-KA122-VET-000443279,Üsküdar Borsa İstanbul Kız Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Yapay Zeka ile Engelleri Aşan Avrupa Stajı,İstanbul,18454.0,Kabul Listesi
95,2026-1-TR01-KA122-VET-000443422,Elazığ Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Bilişimde Kapsayıcı Gelecek: Dezavantajlı Kız Öğrencilerin Avrupa Deneyimi ve Rol Model Stratejisi ile Mesleki Rehabilitasyonu,Elazığ,24808.0,Kabul Listesi
96,2026-1-TR01-KA122-VET-000443747,Silopi Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Fide 4.0: Geleceğe Kök Salıyoruz,Şırnak,49552.0,Kabul Listesi
97,2026-1-TR01-KA122-VET-000444723,Atatürk Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğin Güvencesi Meslek Lisesi,Denizli,47368.0,Kabul Listesi
98,2026-1-TR01-KA122-VET-000445085,Didim Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,"Deniz Araçları Kavitasyon, Pervane İmalatı, Bakım ve Çeşitliliği, Öğrenci Staj Hareketi",Aydın,14992.0,Kabul Listesi
99,2026-1-TR01-KA122-VET-000445361,Tarsus Ticaret ve Sanayi Odası Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Tarsus Sanayisinin Yeşil Dönüşümü için Fotovoltaik Sistemlerde Avrupa Standartlarında Teknik Staj,Mersin,60288.0,Kabul Listesi
100,2026-1-TR01-KA122-VET-000445407,Of Hacı Mehmet Bahattin Ulusoy Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Kuzeyin Genç Denizcileri,Trabzon,16870.0,Kabul Listesi
101,2026-1-TR01-KA122-VET-000447714,Fatima Zehra Kız Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Hasta ve Yaşlı Hizmetleri Öğrencilerinin Mesleki Stajı,Siirt,29474.0,Kabul Listesi
102,2026-1-TR01-KA122-VET-000448082,Vali Necati Bilican Mesleki Eğitim Merkezi Müdürlüğü,Dijital Üretimden Çevresel Sürdürülebilirliğe: Yeni Nesil Mesleki Eğitim,Denizli,68918.0,Kabul Listesi
1,2026-1-TR01-KA122-VET-000408506,Hatay Saadet Yusuf Mıstıkoğlu Tarım Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,"Doğru Tarım, Doğru Gelecek: Hatay’da Dijital ve Sürdürülebilir Üretime Geçiş",Hatay,73877.0,Yedek Listesi
2,2026-1-TR01-KA122-VET-000416398,Şaban Üçgül ve Kardeşleri Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Klinik Hemşirelikte Geriatrik Bakım ve Rehabilitasyon Teknikleri,Adana,80426.0,Yedek Listesi
3,2026-1-TR01-KA122-VET-000431489,Mersin Akdeniz Mesleki Eğitim Merkezi Müdürlüğü,"Yarının Ustaları, Bugünün Kodları: CNC Teknolojileri ile Yeni Nesil Mobilyacılık",Mersin,61688.0,Yedek Listesi
4,2026-1-TR01-KA122-VET-000441787,Buca Şerife Bacı Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Genç İstihdamın Mesleki Beceri Köprüsü,İzmir,22270.0,Yedek Listesi
5,2026-1-TR01-KA122-VET-000419266,Gaziemir Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğin Yeşil Atölyesi: Tasarımdan Üretime Sürdürülebilirlik,İzmir,23096.0,Yedek Listesi
6,2026-1-TR01-KA122-VET-000427954,Halide Edip Adıvar Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Tarladan Tabağa Stratejisi Kapsamında Atıksız Mutfak ve Enerji Verimliliği Uygulamaları,Van,33230.0,Yedek Listesi
7,2026-1-TR01-KA122-VET-000420430,Vehbi Güzel Kız Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Eco-Speed Gastronomy: Sürdürülebilirlik ve Hızın Birleşimi,Adana,59970.0,Yedek Listesi
8,2026-1-TR01-KA122-VET-000417235,El-Cabir Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,"Gelecek Enerjide, Güç Mesleki Beceride",Şanlıurfa,69824.0,Yedek Listesi
9,2026-1-TR01-KA122-VET-000436328,Mut Özdemirler Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Mut Özdemirler ÇPAL'nin Sağlıkta Avrupa İmzası: Dijital Hijyen ve Modern Aseptik Teknikler Stajı,Mersin,61688.0,Yedek Listesi
10,2026-1-TR01-KA122-VET-000412795,Gaziantep Ticaret Odası Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Çıraklar Mesleki Becerilerini Avrupa’da Geliştiriyor ve Dijital Yetkinliklerini Arttırıyor,Gaziantep,22248.0,Yedek Listesi
